lang	source
fr_CA,fr_CI	Mixxx mode:\n- Cue button while pause at cue point = preview\n- Cue button while pause not at cue point = set cue point\n- Cue button while playing = pause at cue point\nMixxx mode (no blinking):\n- Same as Mixxx mode but with no blinking indicators\nPioneer mode:\n- Same as Mixxx mode with a flashing play button\nDenon mode:\n- Cue button at cue point = preview\n- Cue button not at cue point = pause at cue point\n- Play = set cue point\nNumark mode:\n- Same as Denon mode, but without a flashing play button\nCUP mode:\n- Cue button while pause at cue point = play after release\n- Cue button while pause not at cue point = set cue point and play after release\n- Cue button while playing = go to cue point and play after release\n
fr_CA,fr_CI	Track time display
fr_CA,fr_CI	Elapsed
fr_CA,fr_CI	Remaining
fr_CA,fr_CI	Elapsed and Remaining
fr_CA,fr_CI	Time Format
fr_CA,fr_CI	When the analyzer places the intro start point automatically,\nit will place it at the main cue point if the main cue point has been set previously.\nThis may be helpful for upgrading to Mixxx 2.3 from earlier versions.\n\nIf this option is disabled, the intro start point is automatically placed at the first sound.
fr_CA,fr_CI	Set intro start to main cue when analyzing tracks
fr_CA,fr_CI	Track load point
fr_CA,fr_CI	Clone deck
fr_CA,fr_CI	Create a playing clone of the first playing deck by double-tapping a Load button on a controller or keyboard.\nYou can always drag-and-drop tracks on screen to clone a deck.
fr_CA,fr_CI	Double-press Load button to clone playing track
fr_CA,fr_CI	Speed (Tempo) and Key (Pitch) options
fr_CA,fr_CI	Permanent rate change when left-clicking
fr_CA,fr_CI	Permanent rate change when right-clicking
fr_CA,fr_CI	Reset on track load
fr_CA,fr_CI	Current key
fr_CA,fr_CI	Temporary rate change when right-clicking
fr_CA,fr_CI	Value in milliseconds
fr_CA,fr_CI	Temporary
fr_CA,fr_CI	Keylock mode
fr_CA,fr_CI	Ramping sensitivity
fr_CA,fr_CI	Pitch bend behavior
fr_CA,fr_CI	Original key
fr_CA,fr_CI	Temporary rate change when left-clicking
fr_CA,fr_CI	Speed/Tempo
fr_CA,fr_CI	Key/Pitch
fr_CA,fr_CI	Adjustment buttons:
fr_CA,fr_CI	Coarse
fr_CA,fr_CI	Make the speed sliders work like those on DJ turntables and CDJs where moving downward increases the speed
fr_CA,fr_CI	Down increases speed
fr_CA,fr_CI	Slider range
fr_CA,fr_CI	Adjusts the range of the speed (Vinyl "Pitch") slider.
fr_CA,fr_CI	Abrupt jump
fr_CA,fr_CI	Smoothly adjusts deck speed when temporary change buttons are held down
fr_CA,fr_CI	Smooth ramping
fr_CA,fr_CI	Keyunlock mode
fr_CA,fr_CI	Reset key
fr_CA,fr_CI	Keep key
fr_CA,fr_CI	Effects Preferences
fr_CA,fr_CI	Effect Chain Presets
fr_CA,fr_CI	Drag and drop to rearrange lists and copy chains between lists. Create and edit chain presets in the effect units in the main window. Please refer the manual for further details.
fr_CA,fr_CI	Chain presets from these lists will be selectable in the given order in the main window and from controllers (depending on the controller mapping).
fr_CA,fr_CI	Effects in this chain preset:
fr_CA,fr_CI	effect 1 name
fr_CA,fr_CI	effect 2 name
fr_CA,fr_CI	effect 3 name
fr_CA,fr_CI	Import
fr_CA,fr_CI	Export
fr_CA,fr_CI	Delete
fr_CA,fr_CI	Quick Effect Chain Presets
fr_CA,fr_CI	Visible Effects
fr_CA,fr_CI	Drag and drop to rearrange lists and show or hide effects.
fr_CA,fr_CI	Hidden Effects
fr_CA,fr_CI	Effect load behavior
fr_CA,fr_CI	Keep metaknob position
fr_CA,fr_CI	Reset metaknob to effect default
fr_CA,fr_CI	Effect Info
fr_CA,fr_CI	The minimum size of the selected skin is bigger than your screen resolution.
fr_CA,fr_CI	Allow screensaver to run
fr_CA,fr_CI	Prevent screensaver from running
fr_CA,fr_CI	Prevent screensaver while playing
fr_CA,fr_CI	This skin does not support color schemes
fr_CA,fr_CI	Mixxx must be restarted before the new locale or scaling settings will take effect.
fr_CA,fr_CI	Key Notation Format Settings
fr_CA,fr_CI	When key detection is enabled, Mixxx detects the musical key of your tracks\nand allows you to pitch adjust them for harmonic mixing.
fr_CA,fr_CI	Enable Key Detection
fr_CA,fr_CI	Choose between different algorithms to detect keys.
fr_CA,fr_CI	Re-analyze keys when settings change or 3rd-party keys are present
fr_CA,fr_CI	Key Notation
fr_CA,fr_CI	Lancelot/Traditional
fr_CA,fr_CI	OpenKey/Traditional
fr_CA,fr_CI	Traditional
fr_CA,fr_CI	Custom
fr_CA,fr_CI	See the manual for details
fr_CA,fr_CI	Choose a music directory
fr_CA,fr_CI	Confirm Directory Removal
fr_CA,fr_CI	Mixxx will no longer watch this directory for new tracks. What would you like to do with the tracks from this directory and subdirectories?<ul><li>Hide all tracks from this directory and subdirectories.</li><li>Delete all metadata for these tracks from Mixxx permanently.</li><li>Leave the tracks unchanged in your library.</li></ul>Hiding tracks saves their metadata in case you re-add them in the future.
fr_CA,fr_CI	Metadata means all track details (artist, title, playcount, etc.) as well as beatgrids, hotcues, and loops. This choice only affects the Mixxx library. No files on disk will be changed or deleted.
fr_CA,fr_CI	Hide Tracks
fr_CA,fr_CI	Delete Track Metadata
fr_CA,fr_CI	Leave Tracks Unchanged
fr_CA,fr_CI	Relink music directory to new location
fr_CA,fr_CI	Select Library Font
fr_CA,fr_CI	If removed, Mixxx will no longer watch this directory and its subdirectories for new tracks.
fr_CA,fr_CI	Add a directory where your music is stored. Mixxx will watch this directory and its subdirectories for new tracks.
fr_CA,fr_CI	If an existing music directory is moved, Mixxx doesn't know where to find the audio files in it. Choose Relink to select the music directory in its new location. <br/> This will re-establish the links to the audio files in the Mixxx library.
fr_CA,fr_CI	Audio File Formats
fr_CA,fr_CI	Track Metadata Synchronization
fr_CA,fr_CI	Track Table View
fr_CA,fr_CI	Track Double-Click Action:
fr_CA,fr_CI	Track duplicate distance
fr_CA,fr_CI	When playing a track again log it to the session history only if more than N other tracks have been played in the meantime
fr_CA,fr_CI	History playlist with less than N tracks will be deleted<br/><br/>Note: the cleanup will be performed during startup and shutdown of Mixxx.
fr_CA,fr_CI	Delete history playlist with less than N tracks
fr_CA,fr_CI	Library Font:
fr_CA,fr_CI	The Mixxx settings directory contains the library database, various configuration files, log files, track analysis data, as well as custom controller mappings.
fr_CA,fr_CI	Edit those files only if you know what you are doing and only while Mixxx is not running.
fr_CA,fr_CI	Open Mixxx Settings Folder
fr_CA,fr_CI	Library Row Height:
fr_CA,fr_CI	Use relative paths for playlist export if possible
fr_CA,fr_CI	Synchronize library track metadata from/to file tags
fr_CA,fr_CI	Automatically write modified track metadata from the library into file tags and reimport metadata from updated file tags into the library
fr_CA,fr_CI	Synchronize Serato track metadata from/to file tags (experimental)
fr_CA,fr_CI	Keeps track color, beat grid, bpm lock, cue points, and loops synchronized with SERATO_MARKERS/MARKERS2 file tags.<br/><br/>WARNING: Enabling this option also enables the reimport of Serato metadata after files have been modified outside of Mixxx. On reimport existing metadata in Mixxx is replaced with the metadata found in file tags. Custom metadata not included in file tags like loop colors is lost.
fr_CA,fr_CI	Edit metadata after clicking selected track
fr_CA,fr_CI	Search-as-you-type timeout:
fr_CA,fr_CI	Load track to next available deck
fr_CA,fr_CI	External Libraries
fr_CA,fr_CI	You will need to restart Mixxx for these settings to take effect.
fr_CA,fr_CI	Show Rhythmbox Library
fr_CA,fr_CI	Add track to Auto DJ queue (bottom)
fr_CA,fr_CI	Add track to Auto DJ queue (top)
fr_CA,fr_CI	Ignore
fr_CA,fr_CI	Show Banshee Library
fr_CA,fr_CI	Show iTunes Library
fr_CA,fr_CI	Show Traktor Library
fr_CA,fr_CI	Show Rekordbox Library
fr_CA,fr_CI	Show Serato Library
fr_CA,fr_CI	All external libraries shown are write protected.
fr_CA,fr_CI	Crossfader Preferences
fr_CA,fr_CI	Slow fade/Fast cut (additive)
fr_CA,fr_CI	Constant power
fr_CA,fr_CI	Mixing
fr_CA,fr_CI	Logarithmic
fr_CA,fr_CI	Reverse crossfader (Hamster Style)
fr_CA,fr_CI	Only allow EQ knobs to control EQ-specific effects
fr_CA,fr_CI	Uncheck to allow any effect to be loaded into the EQ knobs.
fr_CA,fr_CI	Use the same EQ filter for all decks
fr_CA,fr_CI	Uncheck to allow different decks to use different EQ effects.
fr_CA,fr_CI	Bypass EQ effect processing
fr_CA,fr_CI	When checked, EQs are not processed, improving performance on slower computers.
fr_CA,fr_CI	Resets the equalizers to their default values when loading a track.
fr_CA,fr_CI	Reset equalizers on track load
fr_CA,fr_CI	Resets the deck gain to unity when loading a track.
fr_CA,fr_CI	Reset gain on track load
fr_CA,fr_CI	Main EQ
fr_CA,fr_CI	Reset Parameter
fr_CA,fr_CI	Modplug Preferences
fr_CA,fr_CI	Maximum Number of Mixing Channels:
fr_CA,fr_CI	Show Advanced Settings
fr_CA,fr_CI	Low
fr_CA,fr_CI	Reverb Delay:
fr_CA,fr_CI	High
fr_CA,fr_CI	Bass Expansion
fr_CA,fr_CI	Bass Range:
fr_CA,fr_CI	Front/Rear Delay:
fr_CA,fr_CI	Stereo separation
fr_CA,fr_CI	Noise reduction
fr_CA,fr_CI	Hints
fr_CA,fr_CI	Module files are decoded at once and kept in RAM to allow for seeking and smooth operation in Mixxx. About 10MB of RAM are required for 1 minute of audio.
fr_CA,fr_CI	Decoding options for libmodplug, a software library for loading and rendering module files (MOD music, tracker music).
fr_CA,fr_CI	Decoding Options
fr_CA,fr_CI	Resampling mode (interpolation)
fr_CA,fr_CI	Enable oversampling
fr_CA,fr_CI	Nearest (very fast, extremely bad quality)
fr_CA,fr_CI	Linear (fast, good quality)
fr_CA,fr_CI	Cubic Spline (high quality)
fr_CA,fr_CI	8-tap FIR (extremely high quality)
fr_CA,fr_CI	Memory limit for single track (MB)
fr_CA,fr_CI	All settings take effect on next track load. Currently loaded tracks are not affected. For an explanation of these settings, see the %1
fr_CA,fr_CI	Choose recordings directory
fr_CA,fr_CI	Recordings directory invalid
fr_CA,fr_CI	Recordings directory must be set to an existing directory.
fr_CA,fr_CI	Recordings directory must be set to a directory.
fr_CA,fr_CI	Recordings directory not writable
fr_CA,fr_CI	You do not have write access to %1. Choose a recordings directory you have write access to.
fr_CA,fr_CI	Recording Preferences
fr_CA,fr_CI	Browse...
fr_CA,fr_CI	Quality
fr_CA,fr_CI	Author
fr_CA,fr_CI	Output File Format
fr_CA,fr_CI	Recording Files
fr_CA,fr_CI	Directory:
fr_CA,fr_CI	Compression Level
fr_CA,fr_CI	Create a CUE file
fr_CA,fr_CI	Split recordings at
fr_CA,fr_CI	%1 LUFS (adjust by %2 dB)
fr_CA,fr_CI	Normalization Preferences
fr_CA,fr_CI	ReplayGain Loudness Normalization
fr_CA,fr_CI	Apply loudness normalization to loaded tracks.
fr_CA,fr_CI	Apply ReplayGain
fr_CA,fr_CI	When ReplayGain is enabled, adjust tracks lacking ReplayGain information by this amount.
fr_CA,fr_CI	Initial boost without ReplayGain data
fr_CA,fr_CI	For tracks with ReplayGain, adjust the target loudness to this LUFS value (Loudness Units relative to Full Scale).
fr_CA,fr_CI	Target loudness
fr_CA,fr_CI	Analysis
fr_CA,fr_CI	Disabled
fr_CA,fr_CI	Re-analyze and override an existing value 
fr_CA,fr_CI	When an unanalyzed track is playing, Mixxx will avoid an abrupt volume change by not applying a newly calculated ReplayGain value.
fr_CA,fr_CI	Default (long delay)
fr_CA,fr_CI	Experimental (no delay)
fr_CA,fr_CI	Disabled (short delay)
fr_CA,fr_CI	Soundcard Clock
fr_CA,fr_CI	Network Clock
fr_CA,fr_CI	Direct monitor (recording and broadcasting only)
fr_CA,fr_CI	To enable Realtime scheduling (currently disabled), see the %1.
fr_CA,fr_CI	The %1 lists sound cards and controllers you may want to consider for using Mixxx.
fr_CA,fr_CI	Microphone inputs are out of time in the record & broadcast signal compared to what you hear.
fr_CA,fr_CI	Measure round trip latency and enter it above for Microphone Latency Compensation to align microphone timing.
fr_CA,fr_CI	Refer to the Mixxx User Manual for details.
fr_CA,fr_CI	Configured latency has changed.
fr_CA,fr_CI	Remeasure round trip latency and enter it above for Microphone Latency Compensation to align microphone timing.
fr_CA,fr_CI	Realtime scheduling is enabled.
fr_CA,fr_CI	Main output only
fr_CA,fr_CI	Main and booth outputs
fr_CA,fr_CI	Configuration error
fr_CA,fr_CI	Sound Hardware Preferences
fr_CA,fr_CI	Sample Rate
fr_CA,fr_CI	Engine Clock
fr_CA,fr_CI	Use soundcard clock for live audience setups and lowest latency.<br>Use network clock for broadcasting without a live audience.
fr_CA,fr_CI	Main Mix
fr_CA,fr_CI	Main Output Mode
fr_CA,fr_CI	Microphone Monitor Mode
fr_CA,fr_CI	Microphone Latency Compensation
fr_CA,fr_CI	Buffer Underflow Count
fr_CA,fr_CI	Keylock/Pitch-Bending Engine
fr_CA,fr_CI	Multi-Soundcard Synchronization
fr_CA,fr_CI	Output
fr_CA,fr_CI	System Reported Latency
fr_CA,fr_CI	Enlarge your audio buffer if the underflow counter is increasing or you hear pops during playback.
fr_CA,fr_CI	Headphone Output Delay
fr_CA,fr_CI	Booth Output Delay
fr_CA,fr_CI	Hints and Diagnostics
fr_CA,fr_CI	Downsize your audio buffer to improve Mixxx's responsiveness.
fr_CA,fr_CI	Query Devices
fr_CA,fr_CI	Channel %1
fr_CA,fr_CI	Channels %1 - %2
fr_CA,fr_CI	Sound Item Preferences
fr_CA,fr_CI	Vinyl Configuration
fr_CA,fr_CI	Show Signal Quality in Skin
fr_CA,fr_CI	Vinyl Control Preferences
fr_CA,fr_CI	Turntable Input Signal Boost
fr_CA,fr_CI	Signal Quality
fr_CA,fr_CI	Powered by xwax
fr_CA,fr_CI	Select sound devices for Vinyl Control in the Sound Hardware pane.
fr_CA,fr_CI	Filtered
fr_CA,fr_CI	OpenGL not available
fr_CA,fr_CI	dropped frames
fr_CA,fr_CI	Cached waveforms occupy %1 MiB on disk.
fr_CA,fr_CI	Waveform Preferences
fr_CA,fr_CI	Displays which OpenGL version is supported by the current platform.
fr_CA,fr_CI	Normalize waveform overview
fr_CA,fr_CI	Average frame rate
fr_CA,fr_CI	Visual gain
fr_CA,fr_CI	Default zoom level
fr_CA,fr_CI	Displays the actual frame rate.
fr_CA,fr_CI	Visual gain of the middle frequencies
fr_CA,fr_CI	Highlight the waveforms when the last seconds of a track remains.
fr_CA,fr_CI	Middle
fr_CA,fr_CI	Visual gain of the high frequencies
fr_CA,fr_CI	Visual gain of the low frequencies
fr_CA,fr_CI	Global visual gain
fr_CA,fr_CI	The waveform overview shows the waveform envelope of the entire track.\nSelect from different types of displays for the waveform overview, which differ primarily in the level of detail shown in the waveform.
fr_CA,fr_CI	The waveform shows the waveform envelope of the track near the current playback position.\nSelect from different types of displays for the waveform, which differ primarily in the level of detail shown in the waveform.
fr_CA,fr_CI	Waveform overview type
fr_CA,fr_CI	Synchronize zoom level across all waveform displays.
fr_CA,fr_CI	Synchronize zoom level across all waveforms
fr_CA,fr_CI	Mixxx caches the waveforms of your tracks on disk the first time you load a track. This reduces CPU usage when you are playing live but requires extra disk space.
fr_CA,fr_CI	Enable waveform caching
fr_CA,fr_CI	Generate waveforms when analyzing library
fr_CA,fr_CI	Beat grid opacity
fr_CA,fr_CI	Set amount of opacity on beat grid lines.
fr_CA,fr_CI	Play marker position
fr_CA,fr_CI	Moves the play marker position on the waveforms to the left, right or center (default).
fr_CA,fr_CI	Clear Cached Waveforms
fr_CA,fr_CI	Sound Hardware
fr_CA,fr_CI	&Apply
fr_CA,fr_CI	&Cancel
fr_CA,fr_CI	Recording
fr_CA,fr_CI	Beat Detection
fr_CA,fr_CI	Key Detection
fr_CA,fr_CI	Normalization
fr_CA,fr_CI	<font color='#BB0000'><b>Some preferences pages have errors. To apply the changes please first fix the issues.</b></font>
fr_CA,fr_CI	Preferences
fr_CA,fr_CI	Recordings
fr_CA,fr_CI	Start Recording
fr_CA,fr_CI	Recording to file:
fr_CA,fr_CI	Stop Recording
fr_CA,fr_CI	%1 MiB written in %2
fr_CA,fr_CI	Replace Hotcue Color
fr_CA,fr_CI	Replace cue color if \u2026
fr_CA,fr_CI	is not
fr_CA,fr_CI	Current cue color
fr_CA,fr_CI	If you don't specify any conditions, the colors of all cues in the library will be replaced.
fr_CA,fr_CI	\u2026 by:
fr_CA,fr_CI	New cue color
fr_CA,fr_CI	Selecting database rows...
fr_CA,fr_CI	No colors changed!
fr_CA,fr_CI	No cues matched the specified criteria.
fr_CA,fr_CI	Confirm Color Replacement
fr_CA,fr_CI	The colors of %1 cues in %2 tracks will be replaced. This change cannot be undone! Are you sure?
fr_CA,fr_CI	Select best possible match
fr_CA,fr_CI	Fetching track data from the MusicBrainz database
fr_CA,fr_CI	Get API-Key
fr_CA,fr_CI	Submit
fr_CA,fr_CI	New Column
fr_CA,fr_CI	New Item
fr_CA,fr_CI	&Previous
fr_CA,fr_CI	&Next
fr_CA,fr_CI	Original tags
fr_CA,fr_CI	Suggested tags
fr_CA,fr_CI	Export Tracks
fr_CA,fr_CI	Exporting Tracks
fr_CA,fr_CI	Track Editor
fr_CA,fr_CI	Summary
fr_CA,fr_CI	Filetype:
fr_CA,fr_CI	Location:
fr_CA,fr_CI	Comments
fr_CA,fr_CI	Sets the BPM to 75% of the current value.
fr_CA,fr_CI	Sets the BPM to 50% of the current value.
fr_CA,fr_CI	Displays the BPM of the selected track.
fr_CA,fr_CI	Sets the BPM to 200% of the current value.
fr_CA,fr_CI	Double BPM
fr_CA,fr_CI	Halve BPM
fr_CA,fr_CI	Clear BPM and Beatgrid
fr_CA,fr_CI	Move to the previous item.
fr_CA,fr_CI	Move to the next item.
fr_CA,fr_CI	Duration:
fr_CA,fr_CI	Import Metadata from MusicBrainz
fr_CA,fr_CI	Re-Import Metadata from file
fr_CA,fr_CI	Date added:
fr_CA,fr_CI	Open in File Browser
fr_CA,fr_CI	Assume constant tempo
fr_CA,fr_CI	Sets the BPM to 66% of the current value.
fr_CA,fr_CI	Sets the BPM to 150% of the current value.
fr_CA,fr_CI	Sets the BPM to 133% of the current value.
fr_CA,fr_CI	Tap with the beat to set the BPM to the speed you are tapping.
fr_CA,fr_CI	Tap to Beat
fr_CA,fr_CI	Hint: Use the Library Analyze view to run BPM detection.
fr_CA,fr_CI	Save changes and close the window.
fr_CA,fr_CI	Discard changes and close the window.
fr_CA,fr_CI	Save changes and keep the window open.
fr_CA,fr_CI	Import effect chain preset
fr_CA,fr_CI	Mixxx Effect Chain Presets
fr_CA,fr_CI	Error importing effect chain preset
fr_CA,fr_CI	Error importing effect chain preset "%1"
fr_CA,fr_CI	duplicate
fr_CA,fr_CI	The effect chain imported from "%1" contains an effect that is not available:
fr_CA,fr_CI	If you load this chain preset, the unsupported effect will not be loaded with it.
fr_CA,fr_CI	Export effect chain preset
fr_CA,fr_CI	Error exporting effect chain preset
fr_CA,fr_CI	Could not save effect chain preset "%1" to file "%2".
fr_CA,fr_CI	Rename effect chain preset
fr_CA,fr_CI	New name for effect chain preset
fr_CA,fr_CI	Effect chain preset name must not be empty.
fr_CA,fr_CI	An effect chain preset named "%1" already exists.
fr_CA,fr_CI	Error removing old effect chain preset
fr_CA,fr_CI	Could not remove old effect chain preset "%1"
fr_CA,fr_CI	Remove effect chain preset
fr_CA,fr_CI	Are you sure you want to delete the effect chain preset "%1"?
fr_CA,fr_CI	Error deleting effect chain preset
fr_CA,fr_CI	Could not delete effect chain preset "%1"
fr_CA,fr_CI	Save preset for effect chain
fr_CA,fr_CI	Name for new effect chain preset:
fr_CA,fr_CI	Error saving effect chain preset
fr_CA,fr_CI	Could not save effect chain preset "%1"
fr_CA,fr_CI	No effect loaded.
fr_CA,fr_CI	Empty
fr_CA,fr_CI	Soundtouch (faster)
fr_CA,fr_CI	Rubberband (better)
fr_CA,fr_CI	Fatal error
fr_CA,fr_CI	Critical error
fr_CA,fr_CI	Warning
fr_CA,fr_CI	Select your iTunes library
fr_CA,fr_CI	(loading) iTunes
fr_CA,fr_CI	Use Default Library
fr_CA,fr_CI	Choose Library...
fr_CA,fr_CI	Error Loading iTunes Library
fr_CA,fr_CI	There was an error loading your iTunes library. Some of your iTunes tracks or playlists may not have loaded.
fr_CA,fr_CI	Safe Mode Enabled
fr_CA,fr_CI	No OpenGL\nsupport.
fr_CA,fr_CI	activate
fr_CA,fr_CI	toggle
fr_CA,fr_CI	right
fr_CA,fr_CI	left
fr_CA,fr_CI	right small
fr_CA,fr_CI	left small
fr_CA,fr_CI	up
fr_CA,fr_CI	down
fr_CA,fr_CI	up small
fr_CA,fr_CI	down small
fr_CA,fr_CI	Shortcut
fr_CA,fr_CI	Add Directory to Library
fr_CA,fr_CI	Could not add the directory to your library. Either this directory is already in your library or you are currently rescanning your library.
fr_CA,fr_CI	Playlist Files (*.m3u *.m3u8 *.pls *.csv)
fr_CA,fr_CI	Overwrite File?
fr_CA,fr_CI	A playlist file with the name "%1" already exists.\nThe default "m3u" extension was added because none was specified.\n\nDo you really want to overwrite it?
fr_CA,fr_CI	Library Scanner
fr_CA,fr_CI	It's taking Mixxx a minute to scan your music library, please wait...
fr_CA,fr_CI	Scanning: 
fr_CA,fr_CI	Scanning cover art (safe to cancel)
fr_CA,fr_CI	Sort items randomly
fr_CA,fr_CI	MixxxControl(s) not found
fr_CA,fr_CI	One or more MixxxControls specified in the outputs section of the loaded mapping were invalid.
fr_CA,fr_CI	* Make sure the MixxxControls in question actually exist. Visit the manual for a complete list: 
fr_CA,fr_CI	Some LEDs or other feedback may not work correctly.
fr_CA,fr_CI	* Check to see that the MixxxControl names are spelled correctly in the mapping file (.xml)\n
fr_CA,fr_CI	Click OK to exit.
fr_CA,fr_CI	Cannot upgrade database schema
fr_CA,fr_CI	Unable to upgrade your database schema to version %1
fr_CA,fr_CI	For help with database issues consult:
fr_CA,fr_CI	Your mixxxdb.sqlite file may be corrupt.
fr_CA,fr_CI	Try renaming it and restarting Mixxx.
fr_CA,fr_CI	Your mixxxdb.sqlite file was created by a newer version of Mixxx and is incompatible.
fr_CA,fr_CI	The database schema file is invalid.
fr_CA,fr_CI	Sound Device Busy
fr_CA,fr_CI	<b>Retry</b> after closing the other application or reconnecting a sound device
fr_CA,fr_CI	<b>Reconfigure</b> Mixxx's sound device settings.
fr_CA,fr_CI	Get <b>Help</b> from the Mixxx Wiki.
fr_CA,fr_CI	<b>Exit</b> Mixxx.
fr_CA,fr_CI	Reconfigure
fr_CA,fr_CI	Exit
fr_CA,fr_CI	Mixxx was unable to open all the configured sound devices.
fr_CA,fr_CI	Sound Device Error
fr_CA,fr_CI	<b>Retry</b> after fixing an issue
fr_CA,fr_CI	No Output Devices
fr_CA,fr_CI	Mixxx was configured without any output sound devices. Audio processing will be disabled without a configured output device.
fr_CA,fr_CI	<b>Continue</b> without any outputs.
fr_CA,fr_CI	Continue
fr_CA,fr_CI	Load track to Deck %1
fr_CA,fr_CI	Deck %1 is currently playing a track.
fr_CA,fr_CI	Are you sure you want to load a new track?
fr_CA,fr_CI	There is no input device selected for this vinyl control.\nPlease select an input device in the sound hardware preferences first.
fr_CA,fr_CI	There is no input device selected for this passthrough control.\nPlease select an input device in the sound hardware preferences first.
fr_CA,fr_CI	There is no input device selected for this microphone.\nDo you want to select an input device?
fr_CA,fr_CI	There is no input device selected for this auxiliary.\nDo you want to select an input device?
fr_CA,fr_CI	Error in skin file
fr_CA,fr_CI	The selected skin cannot be loaded.
fr_CA,fr_CI	Direct rendering is not enabled on your machine.<br><br>This means that the waveform displays will be very<br><b>slow and may tax your CPU heavily</b>. Either update your<br>configuration to enable direct rendering, or disable<br>the waveform displays in the Mixxx preferences by selecting<br>"Empty" as the waveform display in the 'Interface' section.
fr_CA,fr_CI	Confirm Exit
fr_CA,fr_CI	A deck is currently playing. Exit Mixxx?
fr_CA,fr_CI	A sampler is currently playing. Exit Mixxx?
fr_CA,fr_CI	The preferences window is still open.
fr_CA,fr_CI	Discard any changes and exit Mixxx?
fr_CA,fr_CI	Playlists
fr_CA,fr_CI	Playlists are ordered lists of tracks that allow you to plan your DJ sets.
fr_CA,fr_CI	It may be necessary to skip some tracks in your prepared playlist or add some different tracks in order to maintain the energy of your audience.
fr_CA,fr_CI	Some DJs construct playlists before they perform live, but others prefer to build them on-the-fly.
fr_CA,fr_CI	When using a playlist during a live DJ set, remember to always pay close attention to how your audience reacts to the music you've chosen to play.
fr_CA,fr_CI	Upgrading Mixxx
fr_CA,fr_CI	Mixxx now supports displaying cover art.\nDo you want to scan your library for cover files now?
fr_CA,fr_CI	Upgrading Mixxx from v1.9.x/1.10.x.
fr_CA,fr_CI	Mixxx has a new and improved beat detector.
fr_CA,fr_CI	When you load tracks, Mixxx can re-analyze them and generate new, more accurate beatgrids. This will make automatic beatsync and looping more reliable.
fr_CA,fr_CI	This does not affect saved cues, hotcues, playlists, or crates.
fr_CA,fr_CI	If you do not want Mixxx to re-analyze your tracks, choose "Keep Current Beatgrids". You can change this setting at any time from the "Beat Detection" section of the Preferences.
fr_CA,fr_CI	Keep Current Beatgrids
fr_CA,fr_CI	Generate New Beatgrids
fr_CA,fr_CI	Invalid
fr_CA,fr_CI	Unknown (0x%1)
fr_CA,fr_CI	Button
fr_CA,fr_CI,it	Main
fr_CA,fr_CI	Headphones
fr_CA,fr_CI	Left Bus
fr_CA,fr_CI	Center Bus
fr_CA,fr_CI	Right Bus
fr_CA,fr_CI	Invalid Bus
fr_CA,fr_CI	Record/Broadcast
fr_CA,fr_CI	Unknown path type %1
fr_CA,fr_CI	Using Opus at samplerates other than 48 kHz is not supported by the Opus encoder. Please use 48000 Hz in "Sound Hardware" preferences or switch to a different encoding.
fr_CA,fr_CI	Mixxx Needs Access to: %1
fr_CA,fr_CI	Your permission is required to access the following location:\n\n%1\n\nAfter clicking OK, you will see a file picker. Please select '%2' to proceed or click Cancel if you don't want to grant Mixxx access and abort this action.
fr_CA,fr_CI	You selected the wrong file. To grant Mixxx access, please select the file '%1'. If you do not want to continue, press Cancel.
fr_CA,fr_CI	Upgrading old Mixxx settings
fr_CA,fr_CI	Due to macOS sandboxing, Mixxx needs your permission to access your music library and settings from Mixxx versions before 2.3.0. After clicking OK, you will see a file selection dialog. \n\nTo allow Mixxx to use your old library and settings, click the Open button in the file selection dialog. Mixxx will then move your old settings into the sandbox. This only needs to be done once.\n\nIf you do not want to grant Mixxx access, click Cancel on the file picker. Mixxx will create a new music library and use default settings.
fr_CA,fr_CI	Bit Depth
fr_CA,fr_CI	Adds noise by the reducing the bit depth and sample rate
fr_CA,fr_CI	The bit depth of the samples
fr_CA,fr_CI	Down
fr_CA,fr_CI	The sample rate to which the signal is downsampled
fr_CA,fr_CI	Time
fr_CA,fr_CI	Send
fr_CA,fr_CI	How much of the signal to send into the delay buffer
fr_CA,fr_CI	Stores the input signal in a temporary buffer and outputs it after a short time
fr_CA,fr_CI	Delay time\n1/8 - 2 beats if tempo is detected\n1/8 - 2 seconds if no tempo is detected
fr_CA,fr_CI	Amount the echo fades each time it loops
fr_CA,fr_CI	How much the echoed sound bounces between the left and right sides of the stereo field
fr_CA,fr_CI	Round the Time parameter to the nearest 1/4 beat.
fr_CA,fr_CI	When the Quantize parameter is enabled, divide rounded 1/4 beats of Time parameter by 3.
fr_CA,fr_CI	Allows only high or low frequencies to play.
fr_CA,fr_CI	Low Pass Filter Cutoff
fr_CA,fr_CI	Corner frequency ratio of the low pass filter
fr_CA,fr_CI	Resonance of the filters\nDefault: flat top
fr_CA,fr_CI	High Pass Filter Cutoff
fr_CA,fr_CI	Corner frequency ratio of the high pass filter
fr_CA,fr_CI	Depth
fr_CA,fr_CI	Mixes the input with a delayed, pitch modulated copy of itself to create comb filtering
fr_CA,fr_CI	Speed of the LFO (low frequency oscillator)\n32 - 1/4 beats rounded to 1/2 beat per LFO cycle if tempo is detected\n1/32 - 4 Hz if no tempo is detected
fr_CA,fr_CI	Delay amplitude of the LFO (low frequency oscillator)
